,LATITUDE,LONGITUDE
0,45.02189,38.95935
1,51.08755,115.55158
2,48.03741,40.12362
3,48.47416,44.56251
4,45.13638,39.01357
5,45.55073,39.19063
6,45.08565,39.01142
7,45.55358,39.18676
8,45.13646,39.01344
9,45.55002,39.19024
10,45.54976,39.193
11,45.58585,39.1576
12,45.55004,39.19081
13,45.61691,38.94098
14,55.76977,37.2461
15,55.73123,37.62188
16,55.6826,37.2145
17,55.84736,37.57457
18,55.72115,37.69007
19,55.17585,36.64682
20,55.594242,37.343086
21,55.8015,37.9465
22,55.95126,37.32838
23,55.62394,37.31126
24,55.8,37.4
25,55.7751,37.47305
26,47.71811,40.23655
27,48.80205,44.594547
28,51.6025,39.24155
29,55.91806,37.76375
30,55.49468,36.919243
31,55.3875,36.7331
32,55.6085,37.708065
33,55.697014,37.20725
34,55.80508,37.58985
35,55.805084,37.589855
36,47.03211,142.61626
37,56.245556,90.48188
38,46.8669,42.02922
39,46.85569,42.04078
40,46.77668,42.10811
41,46.8663,42.02055
42,47.03209,142.61602
43,46.78687,42.08859
44,46.83921,42.04796
45,46.8649,42.03439
46,46.77678,42.10766
47,46.77565,42.11199
48,46.8643,42.02435
49,46.79996,42.06978
50,46.77827,42.10279
51,46.76378,42.15745
52,46.86598,42.02086
53,46.82664,42.05268
54,46.62325,42.47243
55,46.72823,42.24706
56,46.65072,42.41661
57,48.30163,40.30379
58,48.0517,39.96536
59,51.55729,34.68688
60,51.80676,36.1677
61,51.7048,36.15178
62,53.25935,34.44518
63,45.0693,39.01086
64,55.51487,36.98154
65,55.8386,37.35147
66,55.59125,37.59208
67,55.819946,37.634907
68,48.45314,42.35705
69,53.873875,34.44288
70,54.11363,37.55304
71,55.31888,37.80939
72,55.5794,37.9151
73,55.805145,37.589844
74,55.6083,37.70812
75,55.64555,37.343575
76,47.02601,142.6234
77,47.15123,39.73265
78,47.21042,39.67831
79,47.3013,39.52775
80,47.731903,40.251134
81,45.35,37.11869
82,45.09819,39.09344
83,46.79724,42.07332
84,46.86617,42.02153
85,46.86641,42.03421
86,46.86594,42.02693
87,46.85729,42.03877
88,46.84042,42.04759
89,46.78773,42.08734
90,46.76432,42.15534
91,46.84954,42.04369
92,46.86904,42.05202
93,46.85478,42.0414
94,55.86697,35.876007
95,55.99374,92.7736
96,47.24738,39.72291
97,45.322147,37.104008
98,46.86602,42.02088
99,46.79381,42.07844
100,46.77567,42.11199
101,46.86295,42.03712
102,46.85601,42.04039
103,46.86482,42.03482
104,46.81708,42.05781
105,46.78646,42.08922
106,46.75905,42.17553
107,46.78273,42.09464
108,46.8578,42.0379
109,46.86847,42.05603
110,46.78889,42.08578
111,46.86376,42.03684
112,46.76486,42.15326
113,46.77697,42.1069
114,46.79978,42.07006
115,46.78582,42.09018
116,46.87161,42.05265
117,46.6009,42.57836
118,46.60237,42.516
119,46.63725,42.44479
120,46.75432,42.19357
121,46.735,42.23275
122,46.55643,42.62076
123,46.62193,42.59942
124,46.71678,42.27124
125,46.6059,42.58339
126,46.71418,42.27666
127,48.31364,40.25996
128,48.04589,39.95447
129,47.88479,40.21237
130,47.99011,40.22465
131,48.30159,40.3038
132,48.3141,40.26075
133,49.15078,40.59454
134,48.05161,39.96535
135,48.01929,40.11759
136,48.31766,40.26058
137,49.38082,40.28284
138,49.39087,40.1612
139,50.19954,39.58668
140,49.3314,40.31211
141,48.8262,44.70831
142,51.55735,34.68683
143,51.57387,34.72089
144,51.72987,36.22679
145,51.80543,36.19452
146,51.80614,36.16696
147,51.72934,36.19144
148,51.71851,36.22687
149,51.75596,36.22383
150,51.80598,36.19543
151,51.80587,36.19557
152,51.74905,36.23881
153,51.75398,36.25566
154,51.75154,36.18825
155,53.259,34.44536
156,53.25829,34.45041
157,53.25896,34.4454
158,53.25828,34.45041
159,46.75174,42.20324
160,48.3145,40.26051
161,47.81753,39.89599
162,48.63787,40.35707
163,51.80533,36.19497
164,51.77649,36.30438
165,51.7535,36.23456
166,51.7538,36.25642
167,51.74582,36.2558
168,53.25892,34.44613
169,48.56589,44.47307
170,51.80541,36.19519
171,52.96161,36.09492
172,52.9955,36.0391
173,50.62939,36.57566
174,51.2795,37.50477
175,50.72468,37.09676
176,51.27864,37.544
177,50.62869,36.57662
178,51.27935,37.50425
179,51.66116,39.24695
180,53.00608,38.22061
181,52.37413,38.89974
182,53.08889,38.17002
183,56.23359,34.25808
184,56.23309,34.25719
185,54.47646,38.17374
186,54.03715,38.28024
187,54.41334,38.17478
188,52.00611,46.68394
189,52.04085,47.36446
190,52.14294,46.91555
191,48.4808,135.0928
192,46.8198,42.05613
193,46.84955,42.04369
194,46.8337,42.05012
195,46.86601,42.0205
196,46.76088,42.16856
197,45.14282,38.98961
198,46.78795,42.08703
199,46.82379,42.05376
200,46.86282,42.04367
201,46.84712,42.04473
202,45.086132,39.019024
203,46.80031,42.0694
204,46.86685,42.02787
205,46.82219,42.05465
206,46.7628,42.16139
207,46.82027,42.05587
208,46.83474,42.0497
209,46.86181,42.04017
210,46.86878,42.05607
211,46.56324,42.61151
212,46.64873,42.62535
213,46.5439,42.65341
214,46.62827,42.46279
215,46.60255,42.57999
216,46.61091,42.49674
217,46.62676,42.46558
218,46.54368,42.6529
219,46.61084,42.49717
220,46.74937,42.2076
221,46.61257,42.59009
222,46.68829,42.34314
