,LATITUDE,LONGITUDE
0,71.41918,114.50854
1,71.41245,114.52694
2,71.41277,114.52577
3,71.40153,114.56382
4,71.41201,114.52808
5,71.40887,114.53797
6,71.40043,114.58696
7,71.41842,114.51038
8,71.41809,114.51153
9,71.40133,114.57164
10,71.40025,114.59518
11,71.40053,114.59844
12,71.40169,114.60596
13,71.40155,114.60915
14,71.40152,114.60919
15,71.40155,114.60918
16,71.40135,114.61106
17,71.40053,114.61722
18,71.39927,114.64341
19,71.39891,114.67434
20,71.39296,114.70374
21,71.39296,114.70371
22,71.38933,114.7027
23,71.38663,114.70494
24,71.37452,114.70391
25,71.39226,114.70304
26,71.38249,114.7097
27,71.36721,114.70136
28,71.36658,114.70193
29,71.3644,114.70376
30,71.3628,114.70599
31,71.36306,114.70543
32,71.35427,114.71238
33,71.35394,114.71225
34,71.34666,114.70694
35,71.34612,114.70848
36,71.34456,114.72137
37,71.34414,114.72458
38,71.34518,114.77511
39,71.34531,114.7874
40,71.34567,114.79191
41,71.35047,114.82704
42,71.3587,114.89419
43,71.35996,114.90623
44,71.3599,114.90574
45,62.03974,129.74188
46,62.03468,129.74827
47,62.03664,129.75358
48,71.34749,114.80256
49,62.04089,129.75552
50,62.04224,129.75517
51,62.04904,129.7549
52,62.04911,129.75498
53,62.04366,129.73695
54,62.04023,129.73004
55,62.03243,129.62389
56,62.02054,129.67269
57,61.89648,129.90898
58,62.03401,129.62358
59,62.02686,129.65205
60,62.00274,129.77656
61,62.02595,129.76837
62,62.04018,129.72137
63,71.40893,114.53792
64,71.40887,114.53803
65,71.40018,114.59522
66,71.39964,114.62979
67,71.39953,114.64838
68,71.39939,114.6463
69,71.39972,114.66
70,71.39194,114.70289
71,71.39866,114.6369
72,71.39978,114.66326
73,71.38351,114.70801
74,71.3804,114.71048
75,71.3641,114.70401
76,71.36415,114.70403
77,71.36054,114.71206
78,71.35805,114.71143
79,71.35639,114.713
80,71.35494,114.71272
81,71.35494,114.71274
82,71.35252,114.71143
83,71.35089,114.71033
84,71.353,114.71176
85,71.34849,114.70682
86,71.34644,114.70722
87,71.34395,114.73791
88,71.34416,114.75033
89,71.34419,114.75036
90,71.34384,114.76584
91,71.34829,114.8058
92,71.34814,114.80755
93,71.35327,114.83446
94,71.35817,114.8788
95,71.35933,114.88896
96,71.36025,114.90703
97,62.03997,129.74197
98,71.34412,114.75143
99,71.34489,114.77213
100,71.34551,114.79123
101,71.35365,114.83666
102,71.35409,114.83916
103,71.35582,114.85709
104,62.042,129.75536
105,62.04174,129.75594
106,62.0493,129.75433
107,62.05486,129.75439
108,62.05415,129.75006
109,62.05089,129.75404
110,62.04893,129.75745
111,62.04912,129.76016
112,62.04916,129.76093
113,62.04904,129.7598
114,62.0437,129.73701
115,62.04375,129.73674
116,62.02907,129.70464
117,62.02908,129.70462
118,62.02454,129.69495
119,62.01889,129.68837
120,62.01843,129.68788
121,62.01908,129.68861
122,62.01792,129.6879
123,62.02073,129.69125
124,62.0178,129.68846
125,62.02337,129.69359
126,62.03476,129.71765
127,62.04111,129.73208
128,62.04492,129.74846
129,62.04491,129.74844
130,62.02815,129.7363
131,62.02826,129.73631
132,62.02631,129.73477
133,62.02611,129.73428
134,62.0262,129.735
135,62.02618,129.73497
136,62.02609,129.73452
137,62.0321,129.62323
138,62.03396,129.62695
139,62.03392,129.62695
140,62.02693,129.63469
141,62.01527,129.68459
142,61.99406,129.68631
143,61.98721,129.68098
144,61.97853,129.66994
145,61.97358,129.66645
146,62.54551,113.98045
147,62.05523,129.75437
148,62.01841,129.68776
149,62.04462,129.7411
150,62.02607,129.73449
151,62.03259,129.62315
152,62.03294,129.62373
153,61.98208,129.67185
154,61.9041,129.91858
155,61.95035,129.90038
156,61.95033,129.90036
