,LATITUDE,LONGITUDE
0,71.41459,114.52083
1,71.42149,114.50479
2,71.41809,114.51151
3,71.41907,114.50916
4,71.4145,114.52081
5,71.41402,114.52178
6,71.40965,114.53552
7,71.40301,114.54833
8,71.40089,114.58132
9,71.40964,114.53553
10,71.40386,114.54623
11,71.40327,114.54759
12,71.40254,114.55009
13,71.40196,114.55671
14,71.40069,114.58467
15,71.40046,114.58696
16,71.40057,114.59839
17,71.40133,114.60371
18,71.40166,114.60669
19,71.4001,114.62219
20,71.39972,114.62966
21,71.39957,114.63087
22,71.39275,114.70349
23,71.38742,114.70392
24,71.4002,114.62099
25,71.38147,114.70982
26,71.37634,114.70453
27,71.37138,114.70275
28,71.36616,114.70248
29,71.36478,114.7034
30,71.36716,114.7011
31,71.36004,114.71238
32,71.35301,114.71175
33,71.34444,114.72195
34,71.34533,114.78655
35,71.34885,114.81512
36,71.35886,114.89349
37,71.35998,114.90713
38,71.36022,114.90705
39,71.35997,114.90693
40,62.03847,129.73894
41,62.03334,129.73978
42,62.03424,129.74207
43,71.34531,114.77939
44,71.35861,114.88229
45,71.35991,114.90554
46,71.35997,114.90705
47,71.35965,114.90667
48,62.04393,129.7558
49,62.04477,129.75577
50,62.05374,129.75031
51,62.04941,129.76082
52,62.04908,129.76026
53,62.02071,129.6912
54,62.03994,129.72934
55,62.02612,129.73497
56,62.03269,129.62447
57,61.99874,129.68364
58,61.87133,129.88513
59,62.03281,129.62283
60,62.02751,129.73366
61,62.03887,129.75528
62,63.28179,118.35365
63,71.40415,114.54593
64,71.40548,114.54432
65,71.402,114.55559
66,71.40068,114.58466
67,71.40155,114.60922
68,71.40073,114.61496
69,71.40154,114.60923
70,71.39868,114.6369
71,71.39952,114.64843
72,71.39971,114.65629
73,71.39855,114.68165
74,71.391,114.70253
75,71.37641,114.70448
76,71.36436,114.70379
77,71.35489,114.71272
78,71.34391,114.7296
79,71.34401,114.74172
80,71.34419,114.76811
81,71.34725,114.80173
82,71.35127,114.82978
83,71.35473,114.84649
84,71.35717,114.87092
85,71.35869,114.89419
86,71.35888,114.89651
87,71.35932,114.89929
88,62.03907,129.74068
89,62.03842,129.7389
90,62.03415,129.74184
91,62.03227,129.73738
92,71.35819,114.87875
93,71.35899,114.88583
94,62.03485,129.75105
95,62.03157,129.73837
96,62.0343,129.74263
97,62.03503,129.75232
98,62.04206,129.75533
99,62.04377,129.75522
100,62.04417,129.75592
101,62.04595,129.75477
102,62.04546,129.75482
103,62.04979,129.7543
104,62.05542,129.75037
105,62.05526,129.75438
106,62.05546,129.75153
107,62.05551,129.75163
108,62.05539,129.75253
109,62.04969,129.75432
110,62.0498,129.75426
111,62.04903,129.75495
112,62.0491,129.75565
113,62.04894,129.75854
114,62.04799,129.7356
115,62.04376,129.73672
116,62.04069,129.73085
117,62.03528,129.71849
118,62.02987,129.70625
119,62.02826,129.70267
120,62.02457,129.69486
121,62.02341,129.69339
122,62.01835,129.6878
123,62.02585,129.69736
124,62.0291,129.70473
125,62.03917,129.72769
126,62.03777,129.72447
127,62.02923,129.74484
128,62.02795,129.73582
129,62.02727,129.73468
130,62.02711,129.7348
131,62.03933,129.62564
132,62.03353,129.62771
133,62.03269,129.62332
134,62.03248,129.62297
135,62.02847,129.64024
136,62.02043,129.67741
137,62.02081,129.67476
138,62.02027,129.67899
139,62.01154,129.68294
140,62.00219,129.6829
141,61.99478,129.6859
142,61.98721,129.68094
143,61.87137,129.88509
144,61.92198,129.91116
145,61.92829,129.90685
146,61.95061,129.90033
147,62.04912,129.76093
148,62.0207,129.69125
149,62.027,129.73473
150,62.04437,129.63327
151,62.02876,129.64201
152,61.87918,129.89034
153,62.04456,129.74043
154,62.02618,129.73461
155,61.9872,129.68092
156,61.97075,129.90564
157,61.98894,129.89601
158,61.99477,129.85175
159,61.99894,129.8298
160,61.99687,129.80838
161,62.0122,129.78052
162,62.02806,129.75739
163,62.03041,129.74075
164,62.03005,129.74086
